cgid,is.inoshita.2015.dmp,is.pbmc.dmp,is.whole.blood.dmp,ttest.pvalue.pbmc,ttest.pvalue.whole.blood,dnam.direction.inoshita.2015.dmp,dnam.direction.pbmc.dmp,dnam.direction.whole.blood.dmp,relation.to.island,ucsc.gene.names,ucsc.gene.groups,ucsc.gene.acc
cg03618918,TRUE,TRUE,TRUE,4.9e-73,5.73e-216,0.1,0.071,0.034,OpenSea,"","",""
cg05132077,FALSE,TRUE,TRUE,2.31e-72,7.56e-166,0,0.08,0.042,S_Shore,"","",""
cg17843887,FALSE,TRUE,FALSE,3.98e-72,0,0,0.023,0,OpenSea,MMEL1,Body,NM_033467
cg26052357,FALSE,TRUE,TRUE,4.81e-71,2.37e-184,0,-0.07,-0.031,S_Shore,"","",""
cg13346869,FALSE,TRUE,FALSE,9.06e-71,0,0,-0.066,0,OpenSea,LOC728024;ERLIN2,Body;Body,NR_003671;NM_007175
cg08034535,TRUE,TRUE,TRUE,2.28e-70,2.98e-103,-0.03,-0.017,-0.006,Island,RAB33B,1stExon,NM_031296
cg09066361,TRUE,TRUE,TRUE,7.58e-70,5.59e-303,-0.1,-0.068,-0.038,N_Shore,GRM8,5'UTR,NM_001127323
cg02530860,FALSE,TRUE,TRUE,1.8e-69,4.31e-103,0,0.102,0.024,Island,"","",""
cg20031364,FALSE,TRUE,TRUE,6.66e-69,4.16e-140,0,-0.054,-0.026,S_Shore,SRCIN1,Body,NM_025248
cg07852945,TRUE,TRUE,TRUE,2.3e-68,3.25e-237,-0.07,-0.046,-0.029,Island,TLE1,TSS1500,NM_005077
cg14825413,FALSE,TRUE,TRUE,8.4e-67,3.44e-162,0,0.11,0.044,Island,GLI4,Body,NM_138465
cg25910261,TRUE,TRUE,TRUE,2.73e-66,1.73e-117,0.12,0.076,0.034,Island,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,NM_002847;NM_130842;NM_130843
cg10563109,TRUE,TRUE,TRUE,1.01e-65,5.52e-285,-0.11,-0.075,-0.051,S_Shore,"","",""
cg18795569,FALSE,TRUE,TRUE,1.18e-65,8.52e-118,0,0.069,0.026,N_Shore,C19orf77;C19orf77,5'UTR;1stExon,NM_001136503;NM_001136503
cg18575221,FALSE,TRUE,FALSE,2.19e-65,0,0,-0.021,0,N_Shore,C14orf162,Body,NR_024630
cg22970003,TRUE,TRUE,TRUE,2.24e-65,2.28e-134,0.09,0.068,0.033,Island,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,NM_002847;NM_130842;NM_130843
cg27645294,TRUE,TRUE,TRUE,4.39e-65,6.49e-197,-0.06,-0.055,-0.027,OpenSea,"","",""
cg11574745,TRUE,TRUE,TRUE,1.59e-64,7.19e-227,-0.08,-0.065,-0.038,Island,PPP1R3G;PPP1R3G,3'UTR;1stExon,NM_001145115;NM_001145115
cg15416643,FALSE,TRUE,TRUE,2.3e-64,1.28e-208,0,-0.044,-0.021,S_Shore,"","",""
cg11007120,FALSE,TRUE,TRUE,4.96e-64,1.53e-272,0,-0.048,-0.023,S_Shore,"","",""
cg11507052,FALSE,TRUE,TRUE,7.21e-64,7.3e-146,0,-0.049,-0.021,N_Shore,"","",""
cg11866851,FALSE,TRUE,TRUE,1.36e-63,6.13e-153,0,-0.009,-0.006,Island,RNASEN;C5orf22;RNASEN,TSS200;TSS200;TSS200,NM_001100412;NM_018356;NM_013235
cg17223846,FALSE,TRUE,FALSE,2.34e-63,0,0,0.068,0,N_Shore,C19orf77,Body,NM_001136503
cg01345136,FALSE,TRUE,FALSE,3.3e-63,0,0,0.057,0,N_Shore,GALNT9,Body,NM_001122636
cg03237316,FALSE,TRUE,FALSE,3.35e-63,0,0,0.04,0,N_Shore,"","",""
cg07586008,TRUE,TRUE,TRUE,4.01e-63,5.59e-152,-0.09,-0.076,-0.03,Island,PPFIA3,Body,NM_003660
cg13348458,FALSE,TRUE,TRUE,9.48e-63,3.4e-179,0,0.067,0.028,OpenSea,"","",""
cg25294185,TRUE,TRUE,TRUE,9.87e-63,1.71e-248,0.11,0.064,0.034,Island,RNASEH2C,Body,NM_032193
cg12587985,FALSE,TRUE,FALSE,1.29e-62,0,0,0.037,0,OpenSea,"","",""
cg05989533,FALSE,TRUE,TRUE,9.36e-62,3.05e-158,0,-0.065,-0.024,OpenSea,"","",""
cg19544707,TRUE,TRUE,TRUE,9.42e-62,2.83e-248,-0.08,-0.081,-0.044,Island,"","",""
cg23299919,FALSE,TRUE,TRUE,4.68e-61,3.11e-138,0,0.118,0.07,Island,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,NM_002847;NM_130842;NM_130843
cg05100634,FALSE,TRUE,FALSE,9.88e-61,0,0,-0.007,0,Island,SMAD2;SMAD2;SMAD2,TSS200;TSS1500;TSS200,NM_001003652;NM_005901;NM_001135937
cg05467012,FALSE,TRUE,FALSE,1.5e-60,0,0,-0.025,0,N_Shelf,"","",""
cg18227944,FALSE,TRUE,FALSE,4.95e-60,0,0,-0.013,0,S_Shore,ZMYM5;ZMYM5;ZMYM5,TSS1500;TSS1500;TSS1500,NM_001142684;NM_001039649;NM_001039650
cg18187198,FALSE,TRUE,FALSE,5.98e-60,0,0,0.054,0,OpenSea,"","",""
cg15148078,FALSE,TRUE,FALSE,1.55e-59,0,0,0.067,0,N_Shore,C19orf77,TSS200,NM_001136503
cg02991085,FALSE,TRUE,FALSE,2.35e-59,0,0,-0.079,0,S_Shore,NCRNA00028,TSS200,NR_024358
cg11065518,TRUE,TRUE,FALSE,5.44e-59,0,-0.02,-0.006,0,S_Shore,MDH1B;FASTKD2;FASTKD2;FASTKD2;FASTKD2;FASTKD2;FASTKD2,TSS1500;1stExon;1stExon;5'UTR;5'UTR;1stExon;5'UTR,NM_001039845;NM_001136193;NM_001136194;NM_001136194;NM_014929;NM_014929;NM_001136193
cg26533311,FALSE,TRUE,TRUE,2.64e-58,7.46e-268,0,-0.074,-0.048,OpenSea,"","",""
cg02026141,FALSE,TRUE,TRUE,3.05e-58,1.45e-183,0,-0.062,-0.032,S_Shelf,"","",""
cg11092486,TRUE,TRUE,TRUE,4.15e-58,1.7e-289,-0.12,-0.087,-0.061,S_Shore,"","",""
cg21126707,FALSE,TRUE,TRUE,5.41e-58,4.69e-306,0,-0.043,-0.033,Island,MYF5,1stExon,NM_005593
cg26719629,FALSE,TRUE,TRUE,8.17e-58,1.31e-202,0,-0.048,-0.021,N_Shore,IGF2AS;INS-IGF2;IGF2;IGF2;IGF2AS,Body;Body;5'UTR;TSS1500;Body,NR_028044;NR_003512;NM_001007139;NM_001127598;NR_028043
cg05010260,FALSE,TRUE,TRUE,9.23e-58,2.2e-244,0,-0.061,-0.027,N_Shelf,C7orf52,5'UTR,NM_198571
cg20020844,FALSE,TRUE,TRUE,1.38e-57,3.43e-187,0,-0.066,-0.03,S_Shore,SP6,5'UTR,NM_199262
cg15922705,FALSE,TRUE,TRUE,2.97e-57,2.23e-198,0,-0.028,-0.019,N_Shore,COL9A1;COL9A1,Body;Body,NM_001851;NM_078485
cg25283121,FALSE,TRUE,FALSE,3.49e-57,0,0,0.058,0,N_Shore,GALNT9,Body,NM_001122636
cg05404005,FALSE,TRUE,FALSE,3.63e-57,0,0,-0.031,0,Island,"","",""
cg06283493,FALSE,TRUE,FALSE,8.13e-57,0,0,-0.039,0,S_Shelf,SOX2OT,Body,NR_004053
cg26095395,TRUE,TRUE,TRUE,2.32e-56,4.5e-174,0.07,0.058,0.019,Island,"","",""
cg06666376,FALSE,TRUE,FALSE,2.5e-56,0,0,0.062,0,N_Shore,C19orf77,TSS200,NM_001136503
cg06070970,FALSE,TRUE,TRUE,8.1e-56,1.87e-125,0,0.072,0.021,Island,GLI4,3'UTR,NM_138465
cg06152526,FALSE,TRUE,FALSE,1.25e-55,0,0,0.05,0,OpenSea,PLLP,3'UTR,NM_015993
cg08532057,TRUE,TRUE,TRUE,1.7e-55,1.53e-181,-0.1,-0.055,-0.034,Island,NUPL1;NUPL1,TSS1500;TSS1500,NM_001008564;NM_014089
cg27153400,FALSE,TRUE,TRUE,2.79e-55,2.26e-162,0,0.007,0.005,Island,ISOC2;ISOC2;ISOC2,TSS1500;TSS1500;TSS1500,NM_001136201;NM_024710;NM_001136202
cg27462519,FALSE,TRUE,TRUE,3.17e-55,1.13e-176,0,0.064,0.033,Island,"","",""
cg00003625,FALSE,TRUE,FALSE,4.54e-55,0,0,-0.043,0,OpenSea,WFIKKN2,TSS200,NM_175575
cg01124132,FALSE,TRUE,FALSE,8.33e-55,0,0,0.09,0,OpenSea,RFPL2;RFPL2;RFPL2,TSS200;5'UTR;TSS1500,NM_001098527;NM_001159545;NM_001159546
cg22857963,FALSE,TRUE,TRUE,8.39e-55,1.03e-153,0,0.09,0.047,Island,GLI4,Body,NM_138465
cg24510518,FALSE,TRUE,TRUE,9.31e-55,1.28e-185,0,0.072,0.031,Island,GLI4,Body,NM_138465
cg13405775,FALSE,TRUE,FALSE,9.5e-55,0,0,0.073,0,OpenSea,RFPL2;RFPL2;RFPL2,TSS200;5'UTR;TSS1500,NM_001098527;NM_001159545;NM_001159546
cg04863892,FALSE,TRUE,FALSE,9.87e-55,0,0,0.062,0,Island,HOXA5,TSS200,NM_019102
cg18932078,FALSE,TRUE,FALSE,1.66e-54,0,0,-0.03,0,N_Shelf,MMEL1,Body,NM_033467
cg19766489,FALSE,TRUE,FALSE,1.86e-54,0,0,-0.043,0,N_Shore,GIPC2,TSS1500,NM_017655
cg03124146,FALSE,TRUE,FALSE,3.05e-54,0,0,0.062,0,Island,"","",""
cg02470045,FALSE,TRUE,TRUE,3.3e-54,1.9e-93,0,0.031,0.011,OpenSea,"","",""
cg23719534,TRUE,TRUE,TRUE,3.53e-54,4.42e-176,-0.09,-0.072,-0.033,Island,"","",""
cg21894124,FALSE,TRUE,FALSE,4.38e-54,0,0,0.037,0,N_Shore,GALNT9,Body,NM_001122636
cg07004386,FALSE,TRUE,TRUE,7.71e-54,2.33e-205,0,-0.059,-0.046,N_Shore,"","",""
cg12052203,TRUE,TRUE,TRUE,8.4e-54,2.37e-227,0.14,0.048,0.014,Island,B3GNT1;B3GNT1,1stExon;5'UTR,NM_006876;NM_006876
cg13230424,FALSE,TRUE,TRUE,9.32e-54,8.22e-261,0,-0.039,-0.026,S_Shore,SP6,5'UTR,NM_199262
cg06729842,FALSE,TRUE,TRUE,9.83e-54,2.52e-117,0,-0.029,-0.015,N_Shore,"","",""
cg22266749,TRUE,TRUE,TRUE,1.33e-53,1.11e-108,0.1,0.054,0.017,Island,COL25A1;COL25A1,TSS200;TSS200,NM_032518;NM_198721
cg21749424,FALSE,TRUE,TRUE,1.64e-53,1.59e-108,0,-0.069,-0.03,N_Shelf,"","",""
cg17569124,FALSE,TRUE,FALSE,2.03e-53,0,0,0.065,0,Island,HOXA5,TSS1500,NM_019102
cg23890282,TRUE,TRUE,FALSE,2.11e-53,0,-0.01,-0.007,0,Island,LEMD2;LEMD2,Body;TSS1500,NM_181336;NM_001143944
cg05348216,FALSE,TRUE,FALSE,5.16e-53,0,0,-0.079,0,S_Shelf,PRSS16,Body,NM_005865
cg05951817,TRUE,TRUE,FALSE,1.26e-52,0,-0.05,-0.083,0,N_Shore,SLC6A4,5'UTR,NM_001045
cg19590578,FALSE,TRUE,FALSE,1.41e-52,0,0,-0.081,0,N_Shelf,"","",""
cg24680439,FALSE,TRUE,TRUE,3.61e-52,3.05e-97,0,0.087,0.039,N_Shore,"","",""
cg11724970,FALSE,TRUE,FALSE,5.1e-52,0,0,0.041,0,N_Shore,HOXA5,Body,NM_019102
cg01486818,FALSE,TRUE,FALSE,4.55e-51,0,0,0.048,0,N_Shore,PLCH2,Body,NM_014638
cg06710937,TRUE,TRUE,TRUE,5.56e-51,8.2e-219,-0.13,-0.057,-0.032,Island,"","",""
cg06717221,FALSE,TRUE,FALSE,9.33e-51,0,0,0.043,0,S_Shore,ATP8B3,Body,NM_138813
cg24847846,FALSE,TRUE,FALSE,9.7e-51,0,0,-0.037,0,N_Shelf,"","",""
cg05767720,FALSE,TRUE,FALSE,1.74e-50,0,0,-0.047,0,N_Shore,PRRT1,Body,NM_030651
cg10867349,FALSE,TRUE,TRUE,1.89e-50,3.64e-217,0,-0.044,-0.026,S_Shore,KCNK10,TSS1500,NM_021161
cg25502144,FALSE,TRUE,FALSE,2.04e-50,0,0,-0.071,0,S_Shore,NCRNA00028,TSS200,NR_024358
cg18174881,FALSE,TRUE,TRUE,3.29e-50,1.35e-122,0,-0.044,-0.028,S_Shore,C14orf106,TSS1500,NM_018353
cg23008871,FALSE,TRUE,FALSE,4.66e-50,0,0,-0.066,0,Island,"","",""
cg12559179,FALSE,TRUE,FALSE,7.72e-50,0,0,0.044,0,N_Shore,PTPRS;PTPRS;PTPRS;PTPRS,5'UTR;5'UTR;5'UTR;5'UTR,NM_130853;NM_130855;NM_130854;NM_002850
cg01963297,FALSE,TRUE,FALSE,1.23e-49,0,0,0.043,0,OpenSea,KCNN3,1stExon,NM_002249
cg24471210,FALSE,TRUE,TRUE,1.32e-49,4.73e-154,0,-0.046,-0.02,Island,"","",""
cg23233843,FALSE,TRUE,TRUE,1.41e-49,3.22e-159,0,-0.029,-0.014,N_Shore,"","",""
cg20067334,FALSE,TRUE,FALSE,4.7e-49,0,0,0.051,0,S_Shore,"","",""
cg22105158,FALSE,TRUE,FALSE,6.92e-49,0,0,0.055,0,N_Shore,C19orf77,TSS200,NM_001136503
cg09408902,FALSE,TRUE,TRUE,9.52e-49,2.02e-153,0,-0.03,-0.024,S_Shelf,"","",""
cg11218091,FALSE,TRUE,TRUE,1.17e-48,1.03e-96,0,-0.051,-0.024,Island,LOC399815;FAM24B,TSS200;5'UTR,NR_027282;NM_152644
cg17292758,TRUE,TRUE,TRUE,1.22e-48,1.14e-206,-0.12,-0.076,-0.043,Island,PPFIA3,Body,NM_003660
cg02883668,FALSE,TRUE,FALSE,1.76e-48,0,0,-0.056,0,N_Shore,KCNK10,Body,NM_021161
cg13570656,FALSE,TRUE,TRUE,1.84e-48,3.2e-102,0,-0.077,-0.033,Island,CYP1A1,TSS1500,NM_000499
cg25802888,FALSE,TRUE,TRUE,2.73e-48,3.98e-180,0,-0.042,-0.027,Island,AURKC;AURKC;AURKC,TSS1500;TSS1500;TSS1500,NM_001015879;NM_003160;NM_001015878
cg17612569,TRUE,TRUE,TRUE,3.25e-48,1.21e-177,0.09,0.043,0.02,Island,GABPA;ATP5J;ATP5J;ATP5J;ATP5J;ATP5J;ATP5J,TSS200;5'UTR;5'UTR;1stExon;Body;5'UTR;5'UTR,NM_002040;NM_001003697;NM_001685;NM_001003703;NM_001003701;NM_001003703;NM_001003696
cg25987564,FALSE,TRUE,TRUE,5.41e-48,8.87e-119,0,0.07,0.044,Island,"","",""
cg20303724,FALSE,TRUE,TRUE,6.18e-48,3.31e-191,0,-0.048,-0.028,OpenSea,"","",""
cg03618211,FALSE,TRUE,FALSE,8.97e-48,0,0,-0.056,0,S_Shore,NHEDC1;NHEDC1,TSS1500;TSS1500,NM_001100874;NM_139173
cg07775309,FALSE,TRUE,FALSE,1.75e-47,0,0,-0.047,0,N_Shelf,"","",""
cg14661148,FALSE,TRUE,FALSE,2.19e-47,0,0,-0.022,0,OpenSea,"","",""
cg25304146,TRUE,TRUE,TRUE,2.57e-47,7.13e-122,0.08,0.064,0.025,OpenSea,WBP11P1,Body,NR_003558
cg04831505,TRUE,TRUE,TRUE,2.58e-47,2.88e-200,-0.06,-0.031,-0.02,N_Shore,TBC1D15;TBC1D15;TBC1D15;TBC1D15,TSS1500;TSS1500;TSS1500;TSS1500,NR_027449;NM_001146214;NM_001146213;NM_022771
cg19928597,FALSE,TRUE,FALSE,3.93e-47,0,0,-0.051,0,S_Shelf,"","",""
cg16440561,TRUE,TRUE,TRUE,4.31e-47,1.29e-100,-0.21,-0.13,-0.052,Island,SPEG,Body,NM_005876
cg09057517,FALSE,TRUE,FALSE,4.34e-47,0,0,0.063,0,OpenSea,"","",""
cg14253670,FALSE,TRUE,TRUE,6.46e-47,5.39e-182,0,-0.031,-0.018,S_Shelf,"","",""
cg19759481,FALSE,TRUE,FALSE,6.76e-47,0,0,0.077,0,Island,HOXA5,TSS200,NM_019102
cg08289525,FALSE,TRUE,FALSE,9.54e-47,0,0,-0.039,0,S_Shore,ST8SIA2,Body,NM_006011
cg06432119,FALSE,TRUE,FALSE,1.79e-46,0,0,-0.037,0,Island,NLRP6,Body,NM_138329
cg06636541,FALSE,TRUE,FALSE,1.85e-46,0,0,0.056,0,Island,BAHCC1,Body,NM_001080519
cg17328665,FALSE,TRUE,TRUE,1.97e-46,1.44e-155,0,-0.049,-0.02,Island,PER3,Body,NM_016831
cg04674383,FALSE,TRUE,FALSE,2.58e-46,0,0,0.01,0,N_Shore,CACNG8,Body,NM_031895
cg04487479,FALSE,TRUE,TRUE,2.8e-46,3.42e-170,0,-0.05,-0.026,S_Shore,COL9A1;COL9A1,Body;TSS1500,NM_001851;NM_078485
cg23522872,FALSE,TRUE,TRUE,4.47e-46,6.78e-100,0,-0.069,-0.032,S_Shore,"","",""
cg10892403,FALSE,TRUE,FALSE,4.62e-46,0,0,-0.027,0,OpenSea,CHRM1,3'UTR,NM_000738
cg02347904,FALSE,TRUE,FALSE,7.37e-46,0,0,0.045,0,OpenSea,RFPL2;RFPL2;RFPL2,TSS200;5'UTR;TSS1500,NM_001098527;NM_001159545;NM_001159546
cg25943719,FALSE,TRUE,FALSE,9.86e-46,0,0,-0.044,0,S_Shore,ALDH1A3,Body,NM_000693
cg05875017,FALSE,TRUE,FALSE,1.86e-45,0,0,-0.048,0,S_Shore,CHRND,TSS200,NM_000751
cg12244668,FALSE,TRUE,FALSE,2.62e-45,0,0,0.031,0,N_Shore,NXNL1,3'UTR,NM_138454
cg16399833,FALSE,TRUE,FALSE,2.88e-45,0,0,0.029,0,OpenSea,"","",""
cg07734514,FALSE,TRUE,FALSE,4.99e-45,0,0,-0.047,0,OpenSea,GPX5;GPX5,Body;Body,NM_003996;NM_001509
cg17586988,FALSE,TRUE,TRUE,6.22e-45,1.15e-189,0,-0.045,-0.026,S_Shore,TMEM200C,TSS200,NM_001080209
cg18678107,FALSE,TRUE,TRUE,6.64e-45,1.36e-162,0,-0.029,-0.018,S_Shelf,HHIPL1;HHIPL1,Body;Body,NM_032425;NM_001127258
cg25438440,TRUE,TRUE,TRUE,6.93e-45,7.53e-112,-0.03,-0.007,-0.003,N_Shore,CLDND1;CLDND1;CLDND1;CLDND1;CLDND1;CLDND1,5'UTR;Body;Body;5'UTR;5'UTR;5'UTR,NM_019895;NM_001040182;NM_001040200;NM_001040199;NM_001040183;NM_001040181
cg24920126,TRUE,TRUE,TRUE,7.32e-45,1.29e-215,-0.09,-0.086,-0.045,S_Shore,PPP1R3G;PPP1R3G,3'UTR;1stExon,NM_001145115;NM_001145115
cg11557492,FALSE,TRUE,FALSE,7.37e-45,0,0,-0.015,0,Island,SSC5D,Body,NM_001144950
cg08721112,FALSE,TRUE,FALSE,9.02e-45,0,0,0.07,0,S_Shore,"","",""
cg22130008,FALSE,TRUE,TRUE,1.1e-44,1.53e-108,0,-0.039,-0.02,S_Shore,"","",""
cg18075691,FALSE,TRUE,FALSE,1.46e-44,0,0,0.063,0,N_Shelf,"","",""
cg12195369,FALSE,TRUE,TRUE,1.48e-44,6.29e-144,0,0.008,0.005,Island,ISOC2;ISOC2;ISOC2;ISOC2;ISOC2;ISOC2,5'UTR;1stExon;5'UTR;1stExon;5'UTR;1stExon,NM_001136202;NM_024710;NM_024710;NM_001136201;NM_001136201;NM_001136202
cg27053299,TRUE,TRUE,TRUE,2.42e-44,1.18e-157,-0.09,-0.064,-0.03,Island,CLYBL,3'UTR,NM_206808
cg14815891,FALSE,TRUE,FALSE,2.84e-44,0,0,-0.124,0,Island,FRG1B,Body,NR_003579
cg20808136,FALSE,TRUE,FALSE,3.5e-44,0,0,0.032,0,OpenSea,"","",""
cg00153101,FALSE,TRUE,TRUE,3.9e-44,5.16e-199,0,-0.033,-0.018,N_Shore,PLCH2,Body,NM_014638
cg05493751,FALSE,TRUE,FALSE,4.13e-44,0,0,-0.017,0,S_Shore,GRB10,TSS1500,NM_001001555
cg08772588,FALSE,TRUE,FALSE,4.43e-44,0,0,-0.039,0,N_Shore,SSC5D,Body,NM_001144950
cg13641713,FALSE,TRUE,FALSE,4.83e-44,0,0,-0.036,0,N_Shore,"","",""
cg05468028,FALSE,TRUE,TRUE,5.46e-44,5e-122,0,-0.018,-0.008,Island,RWDD2B,Body,NM_016940
cg03168896,FALSE,TRUE,FALSE,6.14e-44,0,0,-0.031,0,N_Shore,"","",""
cg00325531,FALSE,TRUE,TRUE,7.1e-44,1.55e-165,0,-0.052,-0.053,Island,"","",""
cg05977523,FALSE,TRUE,FALSE,9.93e-44,0,0,0.059,0,N_Shore,IFT140;TMEM204,Body;Body,NM_014714;NM_024600
cg07370221,FALSE,TRUE,FALSE,1.04e-43,0,0,0.035,0,N_Shore,GALNT9,Body,NM_001122636
cg24029819,FALSE,TRUE,FALSE,1.04e-43,0,0,0.031,0,Island,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,NM_002847;NM_130842;NM_130843
cg14129430,FALSE,TRUE,FALSE,1.12e-43,0,0,0.041,0,Island,"","",""
cg09594291,FALSE,TRUE,TRUE,1.15e-43,6.18e-111,0,-0.027,-0.014,Island,ZNF837;ZNF837,3'UTR;3'UTR,NM_001129730;NM_138466
cg18346398,FALSE,TRUE,FALSE,1.47e-43,0,0,-0.039,0,S_Shore,"","",""
cg22695986,FALSE,TRUE,FALSE,1.61e-43,0,0,0.074,0,Island,"","",""
cg01019875,FALSE,TRUE,FALSE,1.92e-43,0,0,-0.031,0,Island,SLC16A11,Body,NM_153357
cg14908875,FALSE,TRUE,FALSE,2.08e-43,0,0,0.04,0,N_Shore,ALKBH3,TSS1500,NM_139178
cg24476033,FALSE,TRUE,FALSE,3.1e-43,0,0,-0.066,0,Island,C3,Body,NM_000064
cg12906381,FALSE,TRUE,FALSE,3.22e-43,0,0,0.094,0,OpenSea,RFPL2;RFPL2;RFPL2,TSS200;5'UTR;TSS1500,NM_001098527;NM_001159545;NM_001159546
cg10605064,FALSE,TRUE,FALSE,7.33e-43,0,0,-0.042,0,S_Shore,"","",""
cg01530605,FALSE,TRUE,FALSE,8.42e-43,0,0,-0.045,0,S_Shore,SOX2OT,Body,NR_004053
cg09726240,FALSE,TRUE,FALSE,9.43e-43,0,0,0.046,0,Island,SHANK2,Body,NM_012309
cg26653990,FALSE,TRUE,TRUE,1.05e-42,2.29e-99,0,-0.039,-0.015,N_Shore,"","",""
cg13561855,FALSE,TRUE,FALSE,1.07e-42,0,0,-0.05,0,S_Shore,PTGDR,Body,NM_000953
cg08951638,FALSE,TRUE,TRUE,1.35e-42,1.95e-105,0,-0.053,-0.029,S_Shore,"","",""
ch.17.51385210R,FALSE,TRUE,FALSE,1.47e-42,0,0,0.007,0,OpenSea,"","",""
cg14708218,FALSE,TRUE,FALSE,1.49e-42,0,0,-0.041,0,Island,LOC399815;FAM24B,TSS200;5'UTR,NR_027282;NM_152644
cg09955645,FALSE,TRUE,FALSE,1.95e-42,0,0,0.058,0,Island,DIP2C,Body,NM_014974
cg19684207,FALSE,TRUE,FALSE,2.41e-42,0,0,0.065,0,N_Shore,WRB;WRB,Body;TSS200,NM_004627;NM_001146218
cg17205324,FALSE,TRUE,FALSE,2.49e-42,0,0,-0.04,0,Island,EFS;EFS,TSS1500;TSS1500,NM_032459;NM_005864
cg07616871,FALSE,TRUE,FALSE,2.62e-42,0,0,0.055,0,Island,"","",""
cg22404498,FALSE,TRUE,FALSE,2.86e-42,0,0,0.056,0,OpenSea,RFPL2;RFPL2,TSS1500;TSS200,NM_001098527;NM_001159545
cg17572255,FALSE,TRUE,FALSE,2.97e-42,0,0,0.06,0,OpenSea,LIMA1;LIMA1,5'UTR;5'UTR,NM_001113546;NM_016357
cg00157199,FALSE,TRUE,TRUE,3.04e-42,7.9e-253,0,-0.157,-0.088,Island,"","",""
cg15657936,FALSE,TRUE,FALSE,3.82e-42,0,0,0.05,0,Island,GPR78,1stExon,NM_080819
cg09933329,FALSE,TRUE,TRUE,3.89e-42,2.08e-111,0,-0.041,-0.03,Island,GCK;GCK;GCK,Body;Body;Body,NM_000162;NM_033508;NM_033507
cg07021181,FALSE,TRUE,TRUE,4.67e-42,9.5e-104,0,-0.048,-0.019,N_Shore,BSX,TSS1500,NM_001098169
cg26453670,FALSE,TRUE,FALSE,4.72e-42,0,0,-0.011,0,N_Shore,RBM38;RBM38,TSS1500;TSS1500,NM_017495;NM_183425
cg05867884,FALSE,TRUE,FALSE,5.57e-42,0,0,0.036,0,Island,SLC6A18,3'UTR,NM_182632
