cgid,is.haftorn.2021.dmp,is.merid.2020.dmp,is.cord.blood.dmp,cord.blood.ttests.padjusted,cord.blood.ttest.pnominal,cord.blood.ttest.tvalue,cord.blood.ttest.std.err,cord.blood.ttest.estimate,relation.to.island,ucsc.gene.names,ucsc.gene.groups,ucsc.gene.acc
cg22697136,FALSE,TRUE,TRUE,0.0196,6.03e-08,5.638,0.005,0.027,Island,FBXO44;FBXO2;FBXO44;FBXO44;FBXO44,TSS1500;Body;TSS1500;TSS200;TSS1500,NM_183413;NM_012168;NM_033182;NM_183412;NM_001014765
cg20820107,FALSE,TRUE,TRUE,0.00000579,1.79e-11,-7.146,0.012,-0.083,OpenSea,TNFRSF8;TNFRSF8,5'UTR;Body,NM_152942;NM_001243
cg22677556,FALSE,TRUE,TRUE,0.000275,8.49e-10,-6.456,0.006,-0.041,OpenSea,TNFRSF1B,Body,NM_001066
cg23105827,FALSE,TRUE,TRUE,0.0000167,5.14e-11,6.961,0.006,0.041,OpenSea,ARHGEF19,TSS200,NM_153213
cg08915038,FALSE,TRUE,TRUE,3.54e-08,1.09e-13,-8.005,0.013,-0.107,N_Shore,C1orf89,Body,NM_030907
cg16694480,FALSE,TRUE,TRUE,0.000274,8.47e-10,-6.457,0.008,-0.052,OpenSea,CAPZB,Body,NM_004930
cg01832549,FALSE,TRUE,TRUE,0.000375,1.16e-09,-6.399,0.01,-0.066,OpenSea,CAPZB,Body,NM_004930
cg02978140,FALSE,TRUE,TRUE,0.000147,4.53e-10,6.571,0.018,0.116,N_Shore,"","",""
cg24019564,FALSE,TRUE,TRUE,0.0451,0.000000139,5.469,0.006,0.035,Island,RUNX3;RUNX3,TSS1500;Body,NM_004350;NM_001031680
cg24842859,FALSE,TRUE,TRUE,0.00157,4.85e-09,6.13,0.005,0.028,Island,RUNX3;RUNX3,TSS1500;Body,NM_004350;NM_001031680
ch.1.839062R,FALSE,FALSE,TRUE,0.015,4.63e-08,5.691,0.007,0.042,OpenSea,RUNX3,Body,NM_001031680
cg20692268,FALSE,TRUE,TRUE,1.23e-08,3.8e-14,-8.177,0.008,-0.067,OpenSea,"","",""
cg19595760,FALSE,TRUE,TRUE,0.00366,1.13e-08,-5.968,0.007,-0.042,S_Shelf,MAN1C1,Body,NM_020379
cg24585377,FALSE,TRUE,TRUE,0.00000385,1.19e-11,-7.217,0.007,-0.049,S_Shore,RPS6KA1,Body,NM_002953
cg16684817,FALSE,TRUE,TRUE,0.000531,1.64e-09,-6.334,0.012,-0.076,S_Shelf,C1orf38;C1orf38;C1orf38,Body;Body;Body,NM_001105556;NM_001039477;NM_004848
cg03747028,FALSE,TRUE,TRUE,0.0425,0.000000131,-5.481,0.01,-0.055,S_Shore,TAF12;TAF12,TSS1500;TSS1500,NM_001135218;NM_005644
cg03147838,FALSE,TRUE,TRUE,0.00361,1.11e-08,5.971,0.007,0.039,N_Shore,BAI2,5'UTR,NM_001703
cg21545720,FALSE,TRUE,TRUE,0.00000569,1.75e-11,-7.149,0.007,-0.053,S_Shore,PTP4A2;PTP4A2,TSS1500;TSS1500,NM_080392;NM_080391
cg10250177,FALSE,TRUE,TRUE,0.000333,1.03e-09,-6.421,0.013,-0.086,N_Shore,LCK;LCK;LCK,5'UTR;1stExon;5'UTR,NM_005356;NM_001042771;NM_001042771
cg20156985,FALSE,TRUE,TRUE,0.0399,0.000000123,5.494,0.01,0.055,OpenSea,"","",""
cg11249066,FALSE,FALSE,TRUE,0.0238,7.36e-08,5.598,0.009,0.052,OpenSea,"","",""
cg02030454,FALSE,TRUE,TRUE,0.0399,0.000000123,5.494,0.019,0.102,Island,GJB3;GJB3,Body;Body,NM_024009;NM_001005752
cg03954991,FALSE,FALSE,TRUE,0.0142,4.39e-08,-5.702,0.012,-0.07,S_Shore,OSCP1;OSCP1,TSS1500;TSS1500,NM_145047;NM_206837
cg13100137,FALSE,TRUE,TRUE,3.79e-10,1.17e-15,-8.734,0.011,-0.097,N_Shore,"","",""
cg00859858,FALSE,TRUE,TRUE,0.0198,6.1e-08,-5.636,0.008,-0.047,S_Shelf,ZC3H12A,Body,NM_025079
cg12622182,FALSE,TRUE,TRUE,0.0188,5.81e-08,5.646,0.007,0.041,Island,POU3F1,TSS1500,NM_002699
cg13392029,FALSE,TRUE,TRUE,0.00166,5.11e-09,6.12,0.005,0.03,N_Shore,ARTN;ARTN;ARTN;ARTN;ARTN,TSS1500;5'UTR;5'UTR;5'UTR;TSS1500,NM_057160;NM_057090;NM_001136215;NM_057091;NM_003976
cg12590902,FALSE,TRUE,TRUE,0.0161,4.96e-08,-5.678,0.009,-0.051,OpenSea,ERI3,Body,NM_024066
cg00162064,FALSE,TRUE,TRUE,0.00133,4.11e-09,-6.162,0.009,-0.055,OpenSea,RNF220,Body,NM_018150
cg24741609,TRUE,TRUE,TRUE,0.0259,8e-08,-5.582,0.011,-0.063,OpenSea,GLIS1,5'UTR,NM_147193
cg00112238,FALSE,TRUE,TRUE,0.00000177,5.47e-12,-7.35,0.009,-0.063,N_Shelf,SSBP3;SSBP3;SSBP3,Body;Body;Body,NM_001009955;NM_018070;NM_145716
cg02935904,FALSE,TRUE,TRUE,0.00373,1.15e-08,-5.965,0.013,-0.076,S_Shore,TTC22;TTC22,TSS1500;TSS1500,NM_017904;NM_001114108
cg14377059,FALSE,TRUE,TRUE,5.39e-08,1.66e-13,-7.936,0.009,-0.071,OpenSea,"","",""
cg17826530,FALSE,TRUE,TRUE,0.000272,8.39e-10,6.458,0.018,0.118,Island,"","",""
cg20593826,FALSE,TRUE,TRUE,7.91e-11,2.44e-16,8.98,0.017,0.157,Island,"","",""
cg02951357,FALSE,TRUE,TRUE,0.0184,5.68e-08,5.65,0.009,0.048,N_Shore,"","",""
cg07813031,FALSE,TRUE,TRUE,0.00141,4.34e-09,-6.151,0.013,-0.083,OpenSea,"","",""
cg09113483,FALSE,TRUE,TRUE,0.00444,1.37e-08,5.931,0.027,0.158,N_Shore,"","",""
cg22877452,FALSE,TRUE,TRUE,0.000293,9.06e-10,6.444,0.021,0.138,N_Shore,"","",""
cg13390284,FALSE,TRUE,TRUE,0.00031,9.57e-10,-6.434,0.007,-0.047,N_Shore,"","",""
cg20301308,TRUE,TRUE,TRUE,0.00028,8.63e-10,-6.453,0.014,-0.092,S_Shore,"","",""
cg14613228,FALSE,TRUE,TRUE,0.00000442,1.36e-11,7.193,0.01,0.073,OpenSea,"","",""
cg07110659,FALSE,TRUE,TRUE,0.00784,2.42e-08,-5.82,0.009,-0.053,OpenSea,LPAR3,Body,NM_012152
cg24323958,FALSE,TRUE,TRUE,0.000148,4.56e-10,-6.57,0.01,-0.067,N_Shore,SLC25A24,Body,NM_013386
cg16140253,FALSE,TRUE,TRUE,4.91e-14,1.52e-19,-10.107,0.009,-0.086,S_Shelf,AMPD2;AMPD2;AMPD2,Body;Body;TSS1500,NM_139156;NM_004037;NM_203404
cg20253872,FALSE,TRUE,TRUE,2.13e-08,6.57e-14,-8.088,0.008,-0.063,S_Shelf,AMPD2;AMPD2;AMPD2,Body;Body;TSS1500,NM_139156;NM_004037;NM_203404
cg27565899,FALSE,TRUE,TRUE,0.0000118,3.64e-11,-7.022,0.009,-0.062,S_Shelf,AMPD2;AMPD2;AMPD2,Body;Body;TSS1500,NM_139156;NM_004037;NM_203404
cg05793930,FALSE,TRUE,TRUE,0.00044,1.36e-09,6.369,0.008,0.048,OpenSea,GSTM4;GSTM4;GSTM4,Body;3'UTR;Body,NR_024538;NM_000850;NM_147148
cg14200574,FALSE,TRUE,TRUE,0.0112,3.44e-08,-5.75,0.011,-0.064,N_Shore,KCNA3,1stExon,NM_002232
cg22374525,FALSE,TRUE,TRUE,0.0000571,1.76e-10,6.742,0.008,0.057,N_Shore,"","",""
cg16260424,FALSE,TRUE,TRUE,0.0204,6.29e-08,5.63,0.006,0.037,N_Shelf,"","",""
cg23014759,FALSE,TRUE,TRUE,0.000483,1.49e-09,6.352,0.009,0.058,OpenSea,BCL9,5'UTR,NM_004326
cg24482286,FALSE,TRUE,TRUE,0.036,0.000000111,-5.515,0.011,-0.061,S_Shore,FAM63A;PRUNE;FAM63A,TSS1500;Body;TSS1500,NM_001163258;NM_021222;NM_018379
cg24486037,FALSE,FALSE,TRUE,0.0221,6.83e-08,5.613,0.012,0.066,OpenSea,SELENBP1,TSS200,NM_003944
cg19233405,FALSE,TRUE,TRUE,5.95e-08,1.84e-13,-7.92,0.013,-0.106,N_Shore,ZBTB7B,Body,NM_015872
cg07207669,FALSE,TRUE,TRUE,0.0000028,8.64e-12,-7.272,0.014,-0.104,S_Shore,EFNA1;EFNA1,Body;Body,NM_182685;NM_004428
cg26189283,FALSE,TRUE,TRUE,0.0000157,4.84e-11,-6.972,0.011,-0.074,S_Shore,RAG1AP1;RAG1AP1;RAG1AP1,Body;Body;Body,NM_001122839;NM_001122837;NM_018845
cg11216632,FALSE,TRUE,TRUE,0.00000123,3.79e-12,-7.413,0.008,-0.06,N_Shelf,ARHGEF2;ARHGEF2;ARHGEF2,Body;Body;5'UTR,NM_001162383;NM_001162384;NM_004723
cg05898524,FALSE,TRUE,TRUE,0.00000859,2.65e-11,7.077,0.007,0.047,N_Shore,LMNA;LMNA;LMNA,TSS1500;TSS1500;TSS1500,NM_170708;NM_005572;NM_170707
cg03654783,FALSE,TRUE,TRUE,0.00179,5.52e-09,6.105,0.007,0.046,OpenSea,"","",""
cg24474319,FALSE,TRUE,TRUE,0.0292,9.02e-08,5.557,0.005,0.026,N_Shelf,CRABP2,Body,NM_001878
cg09888330,FALSE,TRUE,TRUE,3e-07,9.25e-13,7.651,0.006,0.046,S_Shore,SH2D2A;NTRK1;SH2D2A;SH2D2A;SH2D2A;SH2D2A,Body;Body;TSS200;Body;Body;Body,NM_001161442;NM_001007792;NM_001161443;NM_003975;NM_001161441;NM_001161444
cg17239103,FALSE,TRUE,TRUE,0.0000415,1.28e-10,6.799,0.01,0.066,Island,CCDC19,TSS200,NM_012337
cg25153824,FALSE,TRUE,TRUE,0.000896,2.77e-09,6.237,0.009,0.059,Island,CCDC19,TSS200,NM_012337
cg00099427,FALSE,TRUE,TRUE,0.00000509,1.57e-11,7.168,0.01,0.069,Island,CCDC19,TSS1500,NM_012337
cg01598007,FALSE,TRUE,TRUE,0.0096,2.96e-08,5.78,0.007,0.042,OpenSea,DUSP27,TSS1500,NM_001080426
cg17801546,FALSE,TRUE,TRUE,0.0195,6.03e-08,-5.638,0.012,-0.07,Island,DUSP27,Body,NM_001080426
cg24633390,FALSE,TRUE,TRUE,0.000894,2.76e-09,-6.237,0.01,-0.062,OpenSea,TNFSF4,Body,NM_003326
cg13492133,FALSE,TRUE,TRUE,1.06e-08,3.26e-14,8.202,0.011,0.087,OpenSea,SMG7;SMG7;SMG7,Body;Body;Body,NM_201569;NM_201568;NM_173156
cg26915799,FALSE,TRUE,TRUE,0.000121,3.74e-10,-6.606,0.016,-0.104,OpenSea,IPO9,3'UTR,NM_018085
cg26841068,FALSE,TRUE,TRUE,0.0148,4.58e-08,5.693,0.005,0.031,N_Shore,PRELP;PRELP,3'UTR;3'UTR,NM_002725;NM_201348
cg17906339,FALSE,FALSE,TRUE,0.00787,2.43e-08,5.819,0.007,0.041,OpenSea,GOLT1A,TSS1500,NM_198447
cg24798047,FALSE,TRUE,TRUE,0.0147,4.53e-08,5.696,0.007,0.037,OpenSea,GOLT1A,TSS1500,NM_198447
cg17112828,FALSE,TRUE,TRUE,0.000526,1.62e-09,6.336,0.008,0.049,S_Shore,LRRN2;LRRN2,TSS1500;TSS1500,NM_201630;NM_006338
cg03466326,FALSE,TRUE,TRUE,0.00283,8.72e-09,6.018,0.008,0.047,OpenSea,"","",""
cg23088126,FALSE,FALSE,TRUE,0.00111,3.44e-09,-6.195,0.005,-0.03,N_Shelf,FAIM3;FAIM3;FAIM3,Body;Body;Body,NM_001142473;NM_001142472;NM_005449
cg17100176,FALSE,TRUE,TRUE,0.000000668,2.06e-12,-7.516,0.004,-0.033,OpenSea,FAIM3;FAIM3;FAIM3,5'UTR;TSS1500;TSS1500,NM_001142472;NM_005449;NM_001142473
cg22109795,FALSE,TRUE,TRUE,0.00309,9.53e-09,6.001,0.012,0.075,S_Shelf,"","",""
cg13066703,FALSE,TRUE,TRUE,8.83e-19,2.72e-24,-11.715,0.017,-0.195,OpenSea,TRAF5;TRAF5;TRAF5,Body;Body;Body,NM_004619;NM_145759;NM_001033910
cg11810998,FALSE,TRUE,TRUE,0.049,0.000000151,-5.452,0.008,-0.045,OpenSea,"","",""
cg04217177,FALSE,TRUE,TRUE,0.00883,2.73e-08,5.796,0.018,0.106,N_Shore,ESRRG,5'UTR,NM_001134285
cg17950169,FALSE,TRUE,TRUE,5.93e-10,1.83e-15,-8.663,0.012,-0.103,N_Shore,TMEM63A,5'UTR,NM_014698
cg20334115,FALSE,TRUE,TRUE,1.42e-22,4.38e-28,-12.974,0.013,-0.17,N_Shelf,PYCR2,3'UTR,NM_013328
cg25287071,FALSE,TRUE,TRUE,0.000000493,1.52e-12,-7.568,0.012,-0.095,OpenSea,ITPKB,Body,NM_002221
cg06540458,FALSE,TRUE,TRUE,0.00464,1.43e-08,5.922,0.008,0.048,OpenSea,"","",""
cg08654091,FALSE,TRUE,TRUE,0.000000251,7.74e-13,7.681,0.009,0.066,OpenSea,"","",""
cg22356061,FALSE,TRUE,TRUE,0.0000545,1.68e-10,-6.75,0.005,-0.037,OpenSea,SNAP47,Body,NM_053052
cg24401487,FALSE,TRUE,TRUE,1.84e-11,5.68e-17,-9.206,0.008,-0.072,S_Shore,GALNT2,3'UTR,NM_004481
cg24474852,FALSE,TRUE,TRUE,0.000448,1.38e-09,6.366,0.012,0.076,OpenSea,AGT;AGT,1stExon;5'UTR,NM_000029;NM_000029
cg17759224,FALSE,TRUE,TRUE,0.0237,7.31e-08,-5.6,0.007,-0.041,OpenSea,"","",""
cg03518729,FALSE,FALSE,TRUE,3.75e-09,1.16e-14,-8.369,0.011,-0.092,OpenSea,"","",""
cg05087455,FALSE,TRUE,TRUE,0.0219,6.76e-08,-5.615,0.005,-0.031,N_Shore,RNF144A,Body,NM_014746
cg27281690,FALSE,TRUE,TRUE,2.3e-09,7.11e-15,-8.447,0.006,-0.053,N_Shore,RNF144A,Body,NM_014746
cg21486510,FALSE,TRUE,TRUE,0.00000206,6.35e-12,-7.325,0.005,-0.035,N_Shore,RNF144A,Body,NM_014746
cg13464573,FALSE,TRUE,TRUE,0.00000378,1.16e-11,-7.22,0.009,-0.065,N_Shore,RNF144A,Body,NM_014746
cg19240637,FALSE,TRUE,TRUE,0.00237,7.33e-09,-6.052,0.008,-0.05,Island,RNF144A,Body,NM_014746
cg12275370,FALSE,TRUE,TRUE,0.00248,7.66e-09,-6.043,0.006,-0.035,OpenSea,"","",""
cg11466832,FALSE,TRUE,TRUE,0.0119,3.69e-08,-5.737,0.011,-0.065,N_Shore,LPIN1,TSS1500,NM_145693
cg20948740,TRUE,TRUE,TRUE,0.0295,9.09e-08,5.556,0.006,0.032,Island,DNMT3A;DNMT3A;DNMT3A,Body;TSS1500;Body,NM_022552;NM_153759;NM_175629
cg05544807,FALSE,TRUE,TRUE,0.00248,7.66e-09,6.043,0.005,0.033,Island,DNMT3A;DNMT3A;DNMT3A,Body;TSS1500;Body,NM_022552;NM_153759;NM_175629
cg06748978,FALSE,FALSE,TRUE,0.0408,0.000000126,-5.489,0.008,-0.041,N_Shore,DNMT3A;DNMT3A;DNMT3A,5'UTR;5'UTR;5'UTR,NM_022552;NM_175630;NM_175629
cg18346576,FALSE,TRUE,TRUE,0.00238,7.33e-09,6.051,0.006,0.038,OpenSea,"","",""
cg01154283,FALSE,TRUE,TRUE,0.000000307,9.46e-13,-7.647,0.009,-0.07,OpenSea,CRIM1,Body,NM_016441
cg21932231,FALSE,TRUE,TRUE,2.07e-08,6.39e-14,-8.093,0.012,-0.096,OpenSea,CRIM1,Body,NM_016441
cg16851771,FALSE,TRUE,TRUE,0.0000709,2.19e-10,-6.703,0.013,-0.086,OpenSea,"","",""
cg27629589,FALSE,TRUE,TRUE,0.00537,1.66e-08,5.894,0.006,0.038,N_Shore,"","",""
cg00360761,FALSE,TRUE,TRUE,0.0000119,3.68e-11,-7.02,0.009,-0.061,Island,"","",""
cg03064100,FALSE,FALSE,TRUE,0.000329,1.02e-09,6.423,0.01,0.062,OpenSea,"","",""
cg01205087,FALSE,TRUE,TRUE,0.0000142,4.38e-11,6.989,0.007,0.05,OpenSea,"","",""
cg23556108,FALSE,TRUE,TRUE,0.0000284,8.75e-11,6.867,0.012,0.08,OpenSea,BCL11A;BCL11A,Body;Body,NM_138559;NM_018014
cg01948201,FALSE,TRUE,TRUE,0.0412,0.000000127,5.487,0.005,0.027,Island,HSPC159,Body,NM_014181
cg10184289,FALSE,TRUE,TRUE,3.11e-08,9.58e-14,-8.027,0.012,-0.093,OpenSea,SERTAD2,5'UTR,NM_014755
cg13424923,FALSE,TRUE,TRUE,0.0000221,6.83e-11,-6.911,0.006,-0.043,OpenSea,"","",""
cg19672145,TRUE,TRUE,TRUE,0.00000138,4.27e-12,7.392,0.013,0.096,OpenSea,SPRED2;SPRED2,Body;Body,NM_001128210;NM_181784
cg22400703,FALSE,TRUE,TRUE,0.0147,4.53e-08,5.696,0.016,0.091,N_Shore,CNRIP1;CNRIP1,Body;Body,NM_015463;NM_001111101
cg02251243,FALSE,FALSE,TRUE,0.0102,3.15e-08,5.768,0.006,0.035,N_Shore,"","",""
cg19445690,FALSE,FALSE,TRUE,0.000563,1.74e-09,6.324,0.005,0.03,N_Shore,"","",""
cg11236515,FALSE,TRUE,TRUE,0.0000122,3.77e-11,-7.016,0.01,-0.069,S_Shore,"","",""
cg00689340,FALSE,TRUE,TRUE,0.00163,5.02e-09,6.124,0.007,0.043,Island,RTKN;RTKN;RTKN,Body;TSS1500;TSS1500,NM_001015055;NM_033046;NM_001015056
cg11985480,FALSE,TRUE,TRUE,0.000000461,1.42e-12,7.579,0.014,0.105,N_Shore,LOC151534;LBX2,TSS1500;Body,NR_024606;NM_001009812
cg01044662,FALSE,TRUE,TRUE,0.0228,7.05e-08,-5.607,0.011,-0.059,S_Shore,C2orf3,TSS1500,NM_003203
cg11812015,FALSE,TRUE,TRUE,0.0436,0.000000135,5.476,0.009,0.049,OpenSea,TCF7L1,Body,NM_031283
cg16256243,FALSE,FALSE,TRUE,0.0104,3.22e-08,5.763,0.006,0.032,S_Shelf,"","",""
cg23230929,FALSE,TRUE,TRUE,0.0325,1e-07,5.536,0.008,0.043,OpenSea,"","",""
cg07106169,FALSE,TRUE,TRUE,0.000942,2.91e-09,-6.227,0.014,-0.084,N_Shelf,"","",""
cg23009780,FALSE,TRUE,TRUE,6.05e-09,1.87e-14,8.292,0.007,0.059,OpenSea,"","",""
cg07749613,TRUE,TRUE,TRUE,3.49e-17,1.08e-22,-11.18,0.013,-0.145,OpenSea,"","",""
cg03443331,FALSE,TRUE,TRUE,0.00987,3.05e-08,-5.774,0.008,-0.049,N_Shore,KIAA1310;KIAA1310,Body;5'UTR,NM_001115016;NM_017991
cg25095518,FALSE,TRUE,TRUE,0.00000121,3.74e-12,-7.415,0.006,-0.044,OpenSea,ZAP70,TSS1500,NM_001079
cg27239243,FALSE,TRUE,TRUE,0.00000112,3.46e-12,-7.428,0.013,-0.094,OpenSea,"","",""
cg07338715,FALSE,TRUE,TRUE,3.44e-10,1.06e-15,-8.749,0.007,-0.064,S_Shore,"","",""
cg09570614,FALSE,TRUE,TRUE,0.0000278,8.58e-11,6.871,0.008,0.052,OpenSea,"","",""
cg19744173,FALSE,TRUE,TRUE,7.81e-18,2.41e-23,-11.398,0.007,-0.075,N_Shelf,FBLN7;FBLN7,Body;Body,NM_153214;NM_001128165
cg09772299,FALSE,TRUE,TRUE,3e-07,9.24e-13,7.651,0.005,0.039,OpenSea,"","",""
cg14372472,FALSE,FALSE,TRUE,0.0385,0.000000119,5.501,0.01,0.057,OpenSea,"","",""
cg20459495,FALSE,TRUE,TRUE,0.00192,5.94e-09,6.092,0.01,0.058,OpenSea,"","",""
cg25702652,FALSE,TRUE,TRUE,0.0421,0.00000013,5.483,0.012,0.063,N_Shore,"","",""
cg23948843,FALSE,TRUE,TRUE,0.0273,8.44e-08,5.571,0.008,0.047,Island,"","",""
cg03662049,FALSE,TRUE,TRUE,1.69e-09,5.21e-15,8.497,0.009,0.077,Island,"","",""
cg19402991,FALSE,TRUE,TRUE,0.0281,8.67e-08,5.565,0.014,0.077,Island,"","",""
cg02743878,FALSE,TRUE,TRUE,0.00000539,1.66e-11,-7.158,0.007,-0.048,OpenSea,DHRS9;DHRS9;DHRS9;DHRS9,TSS1500;5'UTR;5'UTR;5'UTR,NM_001142271;NM_005771;NM_199204;NM_001142270
cg12345526,FALSE,TRUE,TRUE,0.00000337,1.04e-11,-7.24,0.01,-0.071,OpenSea,"","",""
cg26120787,FALSE,TRUE,TRUE,0.00806,2.49e-08,5.814,0.016,0.091,OpenSea,PDE11A;PDE11A;PDE11A;PDE11A,Body;Body;Body;Body,NM_001077358;NM_001077197;NM_016953;NM_001077196
cg06758448,FALSE,TRUE,TRUE,0.000792,2.44e-09,-6.26,0.01,-0.063,OpenSea,"","",""
cg24914185,FALSE,TRUE,TRUE,0.0000454,1.4e-10,-6.783,0.011,-0.073,OpenSea,"","",""
cg03974286,FALSE,TRUE,TRUE,0.00105,3.24e-09,-6.207,0.008,-0.047,N_Shore,CFLAR;CFLAR,TSS1500;TSS200,NM_003879;NM_001127184
cg18559579,FALSE,TRUE,TRUE,0.0105,3.23e-08,-5.762,0.017,-0.095,N_Shore,"","",""
cg03165356,FALSE,TRUE,TRUE,0.021,6.48e-08,-5.624,0.012,-0.069,S_Shelf,"","",""
cg12001120,FALSE,TRUE,TRUE,0.00745,2.3e-08,5.83,0.012,0.073,S_Shelf,WNT10A,Body,NM_025216
cg07160871,FALSE,TRUE,TRUE,1.33e-08,4.11e-14,8.164,0.009,0.077,OpenSea,"","",""
cg18146074,FALSE,TRUE,TRUE,0.0323,9.97e-08,5.537,0.008,0.047,OpenSea,"","",""
cg20793665,FALSE,TRUE,TRUE,0.0042,1.29e-08,-5.942,0.006,-0.036,S_Shelf,"","",""
cg21124375,FALSE,TRUE,TRUE,0.0000189,5.83e-11,6.939,0.01,0.071,Island,"","",""
cg17186087,FALSE,TRUE,TRUE,0.0103,3.19e-08,5.765,0.007,0.039,Island,"","",""
cg05208178,FALSE,TRUE,TRUE,0.00476,1.47e-08,-5.917,0.007,-0.039,S_Shelf,INPP5D;INPP5D,Body;Body,NM_005541;NM_001017915
cg07063912,FALSE,TRUE,TRUE,0.000317,9.78e-10,-6.43,0.012,-0.074,N_Shore,LRRFIP1,Body,NM_001137550
cg01790646,FALSE,TRUE,TRUE,1.2e-10,3.69e-16,-8.915,0.012,-0.109,N_Shore,HDAC4,5'UTR,NM_006037
cg09718582,FALSE,TRUE,TRUE,0.00000313,9.65e-12,7.253,0.01,0.072,OpenSea,"","",""
cg11066033,FALSE,TRUE,TRUE,0.0000268,8.27e-11,-6.877,0.011,-0.077,OpenSea,THAP4;THAP4;THAP4,1stExon;Body;5'UTR,NM_001164356;NM_015963;NM_001164356
cg10901633,FALSE,TRUE,TRUE,0.0305,9.41e-08,-5.549,0.01,-0.053,OpenSea,ITPR1;ITPR1;ITPR1,Body;Body;Body,NM_002222;NM_001099952;NM_001168272
cg07631359,FALSE,TRUE,TRUE,0.00000102,3.16e-12,7.444,0.011,0.085,S_Shore,IRAK2,Body,NM_001570
cg24279744,FALSE,TRUE,TRUE,0.000629,1.94e-09,6.303,0.008,0.053,OpenSea,ATP2B2;ATP2B2,Body;Body,NM_001683;NM_001001331
cg23482898,FALSE,TRUE,TRUE,0.00000514,1.59e-11,-7.167,0.006,-0.044,S_Shelf,CAND2;CAND2,Body;Body,NM_001162499;NM_012298
cg11882607,FALSE,TRUE,TRUE,1.62e-09,4.99e-15,-8.504,0.008,-0.072,S_Shelf,CAND2;CAND2,Body;Body,NM_001162499;NM_012298
cg25157472,FALSE,TRUE,TRUE,0.000375,1.16e-09,-6.399,0.008,-0.048,OpenSea,IQSEC1;IQSEC1,Body;Body,NM_001134382;NM_014869
cg25484139,FALSE,TRUE,TRUE,0.000555,1.71e-09,-6.326,0.011,-0.073,N_Shore,IQSEC1;IQSEC1,Body;Body,NM_001134382;NM_014869
cg27381979,FALSE,TRUE,TRUE,0.000805,2.48e-09,6.257,0.005,0.034,OpenSea,HDAC11;HDAC11,Body;Body,NM_024827;NM_001136041
cg24159436,FALSE,TRUE,TRUE,0.000374,1.16e-09,-6.399,0.016,-0.1,OpenSea,PLCL2;PLCL2;PLCL2,1stExon;Body;5'UTR,NM_015184;NM_001144382;NM_015184
cg27246744,FALSE,TRUE,TRUE,0.0000156,4.8e-11,-6.973,0.011,-0.075,OpenSea,OSBPL10,Body,NM_017784
cg09866743,FALSE,TRUE,TRUE,7.82e-09,2.41e-14,-8.251,0.018,-0.147,OpenSea,ARPP-21,5'UTR,NM_016300
